央视频道, #genre#
CCTV15, http://111.43.126.240:9003/hls/28/index.m3u8#http://221.205.55.24:9003/hls/16/index.m3u8#http://39.164.160.249:9901/tsfile/live/0015_1.m3u8
CCTV16, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv16HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/17/index.m3u8
CCTV17, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv17HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/18/index.m3u8#http://58.57.40.22:9901/tsfile/live/0019_1.m3u8
CCTV央视台球, https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
CCTV女性时尚, https://cc06.tv12.xyz/95.m3u8
CCTV怀旧剧场, https://cc06.tv12.xyz/52.m3u8
CCTV第一剧场, https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
CETV1, https://cc06.tv12.xyz/23.m3u8
CETV2, https://cc06.tv12.xyz/24.m3u8
CETV4, https://mursor.ottiptv.cc/migu/923287339.m3u8

卫视频道, #genre#
山西卫视, http://221.205.55.24:9003/hls/19/index.m3u8
北京卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/beijingHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/20/index.m3u8
天津卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/tianjinHD/__op/default/__f/index.m3u8
安徽卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/anhuiSD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/21/index.m3u8
重庆卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/chongqingHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/22/index.m3u8
东方卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/shanghaiHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/23/index.m3u8
四川卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/sichuanHD/__op/default/__f/index.m3u8
福建卫视, http://221.205.55.24:9003/hls/24/index.m3u8
甘肃卫视, http://221.205.55.24:9003/hls/25/index.m3u8
贵州卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/guizhouHD/__op/default/__f/index.m3u8
云南卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/yunnanSD/__op/default/__f/index.m3u8
广东卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/guangdongHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/26/index.m3u8
广西卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/guangxiHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/27/index.m3u8
海南卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/hainanSD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/28/index.m3u8
河北卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/hebeiSD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/29/index.m3u8
河南卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/henanHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/30/index.m3u8
黑龙江卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/heilongjiangHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/31/index.m3u8
湖北卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/hubeiSD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/32/index.m3u8
湖南卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/hunanHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/33/index.m3u8
吉林卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/jilinHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/34/index.m3u8#http://58.57.40.22:9901/tsfile/live/1050_1.m3u8
江苏卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/jiangsuHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/35/index.m3u8
江西卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/jiangxiHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/36/index.m3u8
辽宁卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/liaoningHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/37/index.m3u8#http://39.164.160.249:9901/tsfile/live/0121_1.m3u
内蒙卫视, http://221.205.55.24:9003/hls/38/index.m3u8
宁夏卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/ningxia/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/39/index.m3u8
青海卫视, http://218.78.176.241:5003/qhws.m3u8?token=7375646f5a6de7caf56f7bbd731d50188425bfd9&z=1f48#http://221.205.55.24:9003/hls/40/index.m3u8
山东卫视, http://221.205.55.24:9003/hls/41/index.m3u8
陕西卫视, http://221.205.55.24:9003/hls/42/index.m3u8
深圳卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/shenzhenHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/43/index.m3u8
兵团卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/bingtuanSD/__op/default/__f/index.m3u8#http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
甘肃卫视, http://120.238.94.10:9901/tsfile/live/1079_1.m3u8
农林卫视, http://120.76.248.139/live/bfgd/4200000122.m3u8
新疆卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/xinjiangSD/__op/default/__f/index.m3u8#http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
延边卫视, http://120.76.248.139/live/bfgd/4200000117.m3u8
浙江卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/zhejiangHD/__op/default/__f/index.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
香港卫视, http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
延边卫视, http://120.76.248.139/live/bfgd/4200000117.m3u8
西藏卫视, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/xizangSD/__op/default/__f/index.m3u8

 
地方频道1, #genre#
山东教育, https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
浙江钱江都市, http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济生活, http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科影院, http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲, http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻, http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿, http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
中国蓝新闻, http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
浙江国际, http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
数码时代, http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
上虞文化影院, http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
上虞新商都, http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
上虞新商都, http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed
上虞新闻综合, http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed
丽水云和综合, http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
丽水松阳综合, http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
丽水遂昌综合, http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8
丽水青田综合, http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
伊犁哈萨克, http://110.153.180.106:55555/out_3/index.m3u8
利州综合, http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8
十堰新闻, http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
宁波余姚生活, http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
宁波余姚综合, http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
宁波象山综合, http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
宜兴新闻综合, http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8
平湖民生休闲, http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8
德阳公共, http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8?zsicd
德阳新闻综合, http://scdytv.cn:1935/live/m_xwpd_livevideo/playlist.m3u8
文成综合, http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
普陀新闻综合, http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
杭州余杭综合, http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
松潘新闻综合, http://live.spccmc.com:90/live/spxwzh.m3u8
江阴新闻综合, http://221.228.70.101:8080/live/xinwen.m3u8
汶川新闻综合, http://live.iwcmt.cn:90/live/zhxw.m3u8
浙江国际, https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江教科影视, https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江新闻, https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江钱江都市, https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
潼南综合, http://183.230.184.51:65500/tntv1.m3u8?zzhongqd
烟台公共频道, http://live.yantaitv.cn/live/e50f104a4ffe4a41b2217cbda534146f/d86092e69df94668b33390278b061700-1.m3u8
烟台新闻综合, http://live.yantaitv.cn/live/3e81a8879da44c5dadf3bd9c10468e1c/9b776d420ee4438199b7657c8eb88f07-1.m3u8
烟台经济科技, http://live.yantaitv.cn/live/27f84144e95a4652ae9e5c211b2a6b55/405f3e33ba384aa0a16014d0becd1261-1.m3u8
璧山综合, http://222.179.42.129:8181/hls1.m3u8?zzhongqd
福州新闻, http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
绍兴文化影视, http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
绍兴新闻综合, http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
荆门新闻, http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
营山电视台, http://file.ysxtv.cn/cms/videos/nmip-media/channellive/channel4/playlist.m3u8
萧山生活频道, http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
衢州开化综合, http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
金华东阳综合, http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
金川乡村, http://live.jinchuanrmt.com:90/live/jcxc.m3u8
镇江新闻综合, http://zjtv-wshls.homecdn.com/live/2aa50.m3u8
镇江民生, http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
鹤岗新闻综合, http://live.hznet.tv:1935/live/live2/500K/tzwj_video.m3u8
麻栗坡, http://tvdrs.wsrtv.com.cn:8100/channellive/mlptv.flv
龙游新闻综合, http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
龙游生活娱乐, http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
中国蓝新闻, http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
余杭综合频道, http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed
平湖新闻综合, http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8?zzhed
数码时代, http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江国际, http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿, http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影院, http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江新闻, http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江民生休闲, http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活, http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市, http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
晋中公共, http://jzlive.jztvnews.com:90/live/jzgg.m3u8
晋中综合, http://jzlive.jztvnews.com:90/live/jzzh.m3u8
浙江青田, http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8

地方频道2, #genre#
康巴卫视, http://36.105.100.208:35455/itv/1000000005000266002.m3u8
安多卫视, http://36.105.100.208:35455/itv/1000000005000266001.m3u8
广东珠江, http://gmxw.7766.org:808/hls/83/index.m3u8
大湾区卫视, http://222.128.55.152:9080/live/dwq.m3u8
广东体育, http://120.238.94.10:9901/tsfile/live/1012_1.m3u8
快乐垂钓, http://drive.mxmy.net:8888/udp/239.3.1.164:8001
法治天地, https://cc06.tv12.xyz/42.m3u8
七台河新闻综合, http://live.qthnews.org.cn:1935/live/live1/800k/tzwj_video.m3u8
七台河民生社教, http://live.qthnews.org.cn:1935/live/live2/800k/tzwj_video.m3u8
七星关电视台, https://p8.vzan.com:443/slowlive/147077707554082780/live.m3u8
万州三峡移民, http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
万荣综合, http://60.222.246.220:19433/hls1.m3u8
三明新闻综合, http://ls.qingting.fm/live/4885.m3u8
上虞文化影院, http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
东丰综合, http://stream3.jlntv.cn:80/aac_dfgb/playlist.m3u8
东莞新闻综合, https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
东莞生活资讯, https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8
中华特产, http://120.76.248.139/live/bfgd/4200000158.m3u8
临夏州综合, http://play.kankanlive.com/live/1714096320293954.m3u8
之江纪录, https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
乐家购物, http://112.46.105.20:8009/hls/23/index.m3u8
乐至综合, http://175.155.106.72:89/live1/live1.m3u8?zsicd
九台综合, http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8
云霄综合, https://live.zzyxxw.com:2443/live/xwzh.m3u8
五台综合, https://568slnjf.live.sxmty.com/live/hls/90c8b2efeb164cc0a6c2409eed668d6b/f77cbb89ec57435b9ba4c47589c16e4f-1.m3u8
井研综合, http://tvfile.jyrmt.cn/nmip-media/channellive/channel104452/playlist.m3u8
仁寿综合, https://play.scrstv.com.cn/DT/live.m3u8?auth_key=60001724663204-0-0-c1cc4ded9841ac34f63cdbd3aec647ef
任丘综合, https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8
伊犁汉语综合, http://110.153.180.106:55555/out_1/index.m3u8
伊犁经济法制, http://110.153.180.106:55555/out_4/index.m3u8
伊犁维吾尔, http://110.153.180.106:55555/out_2/index.m3u8
优优宝贝, http://120.76.248.139/live/bfgd/4200000153.m3u8
余姚姚江文化, https://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
余姚新闻综合, http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?cWlkPSZzPTg3OWMwYmMyZDMzYTFhZGY3NDQxMjgyYTg1MmUzNTY0JmVzPTE3MDY2Nzc4NzMmdXVpZD0yMjdiY2MzNGNiNGY0MThlYjRiY2IxYzcwNmZjODNkMS02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD10eF9waG9uZV9saXZl
余杭未来E, http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
六安公共, http://ls.qingting.fm/live/1794199.m3u8
六安新闻综合, http://ls.qingting.fm/live/267.m3u8
兰溪新闻综合, http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
兰考新闻, http://live.dxhmt.cn:9081/tv/10225-1.m3u8
兴隆综合, https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8
兵团五师双河新闻综合, http://liveout.btzx.com.cn/62ds9e/4nxdih.m3u8?fbl=
兵团八师石河子教育, http://124.88.144.73:1935/live/jiaoyu/playlist.m3u8
兵团八师石河子新闻综合, http://124.88.144.73:1935/live/xwzh/playlist.m3u8?zxinjd
兵团八师石河子经济生活, http://124.88.144.73:1935/live/dywt/playlist.m3u8?zxinjd
内蒙农牧, http://play1-qk.nmtv.cn:80/live/1686561299036179.m3u8
内蒙经济, https://ls.qingting.fm/live/1885/64k.m3u8
凉山新闻综合, http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8?zsicdhttp://tv.drs.lzgbdst.com:8100/channellive/lztv2.flv?zsicd
利州综合, http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8?zsicd
剑阁综合, https://m3u8.channel.dzsm.com/nmip-media/channellive/channel105549/playlist.m3u8
动漫秀场, http://36.105.100.208:35455/itv/5000000011000031113.m3u8
北京生活, https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv7_1/index.m3u8?adapt=0&BR=audio
北京科教, http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=btv3&P2PChannelID=pd://cctv_p2p_hdbtv3
北京青年, http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=btv8&videoTVChannel=btv8&P2PChannelID=pd://cctv_p2p_hdbtv8&tai=btv8&VideoName=btv8&channelID=btv8
北海新闻综合, https://live.gxrb.com.cn/gx/beihai/index.m3u8
双流综合, http://171.221.250.130:18888/27e684978eb642eeb90ab815f6cc51bf/c41893de5e8645b3b43aef1640859b0d.m3u8?zsicd
双辽综合, http://stream3.jlntv.cn:80/aac_slgb/playlist.m3u8
古县综合, https://l2fpdktp.live.sxmty.com/live/hls/e4c3b363cc4549788e2d983f403e07db/d99ce1eb686e41b9afc888110bd95aa7.m3u8?zshanxd
句容党建, http://jrlive.jrntv.com/live/_definst_/dangjians/playlist.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
句容影院, http://jrlive.jrntv.com/live/_definst_/yingshis/chunklist_w1994429382.m3u8?zjiangsd
句容新闻综合, http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8
句容生活, http://jrlive.jrntv.com/live/_definst_/shenghuos/playlist.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
可克达拉综合, http://file.loulannews.cn/nmip-media/channellive/channel103824/playlist.m3u8
吉林乡村, https://satellitepull.cnr.cn/live/wxjlxcgb/playlist.m3u8
名山综合, https://m3u8channel-bx.yunxya.com/nmip-media/channellive/channel104666/playlist.m3u8
周口扶沟, http://live.dxhmt.cn:9081/tv/11621-1.m3u8
哈密一套, https://tvpull.hmgbtv.com/hmtv/channel9cd66b3d5d258b2b.flv
哈密三套, https://tvpull.hmgbtv.com/hmtv/channelfb0e5c505477aa44/playlist.m3u8
哈密二套, https://tvpull.hmgbtv.com/hmtv/channel108259412c6a6711/playlist.m3u8
哈尔滨娱乐, https://stream.hrbtv.net/ylpd/sd/live.m3u8
哈尔滨新闻综合, http://stream.hrbtv.net/xwzh/sd/live.m3u8?zheild
哈尔滨生活, http://111.43.126.240:9003/hls/3/index.m3u8
哈尔滨资讯, http://stream.hrbtv.net/zxpd/sd/live.m3u8
哈尔滨都市咨询, http://stream.hrbtv.net/zxpd/sd/live.m3u8?zheild
嘉兴新闻综合, http://tvfile.jyrmt.cn:80/nmip-media/channellive/channel104452/playlist.m3u8
嘉峪关综合, http://play.kankanlive.com/live/1720583434627241.m3u8
四川科教, http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8
四海钓鱼, http://120.76.248.139/live/bfgd/4200000229.m3u8
固镇新闻, http://www.guzhenm.com:7001/hls/hd-live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
垫江综合, http://36.105.100.208:35455/itv/1000000002000010063.m3u8
大宁综合, http://live.daningtv.com/aac_dngb/playlist.m3u8
天津文艺, http://nas.hssvm.com:8888/udp/225.1.1.131:5002
天津新闻, http://nas.hssvm.com:8888/udp/225.1.1.130:5002
天津都市, http://nas.hssvm.com:8888/udp/225.1.1.128:5002
天祝综合, https://play.kankanlive.com/live/1656487214793905.m3u8
太谷新闻综合, https://p2.vzan.com/slowlive/596867413819827251/live.m3u8?zbid=1725814272&amp;amp;tpid=1516989100&amp;amp;type=0
夹江新闻综合, http://tvfile.jjrm.org.cn/nmip-media/channellive/channel106282/playlist.m3u8?zsicd
奎屯哈萨克语, http://218.84.12.186:8002/hls/main/playlist.m3u8?zxinjd
宁夏经济, https://ls.qingting.fm/live/1841/64k.m3u8
安徽导视, http://dspdhls.appcoo.com:8888/live/dspd/index.m3u8
安顺新闻, http://hplayer1.juyun.tv/camera/154379194.m3u8
定襄综合, http://lbyzztfe.live.sxmty.com/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8?zshanxd
宜兴紫砂, http://3gvod.zjgonline.com.cn:1935/live/_definst_/xinwenzonghe_app/chunklist.m3u8
宾阳综合, http://pulls.myun.tv/live/0dkp33j5.m3u8
屏边综合, http://live.ynurl.com/video/s10040-pbzh/index.m3u8?zyund
山东文旅, http://58.57.40.22:9901/tsfile/live/1023_1.m3u8
山东新闻, http://ls.qingting.fm/live/60180.m3u8
山东生活, http://ls.qingting.fm/live/60260.m3u8
峨山电视, http://live.ynurl.com/video/s10034-ESTV/index.m3u8?zyund
嵊州新闻综合, http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed
嵊泗综合, http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8
巩义新闻综合, http://live.dxhmt.cn:9081/tv/10181-1.m3u8
巴音郭楞州, http://124.88.144.73:1935/live/dywt/playlist.m3u8
常熟民生, http://3gvod.zjgonline.com.cn:1935/live/_definst_/shehuishenghuo_app/chunklist.m3u8
平泉综合, https://jwcdnqx.hebyun.com.cn/live/pqzh/1500k/tzwj_video.m3u8
平湖民生休闲, http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
广东新闻, https://satellitepull.cnr.cn/live/wxgdxwgb/playlist.m3u8
广东民生, http://183.11.239.36:808/hls/18/index.m3u8
广元公共, https://m3u8.channel.dzsm.com/nmip-media/channellive/channel101257/playlist.m3u8
广元综合, https://m3u8.channel.dzsm.com/nmip-media/channellive/channel100999/playlist.m3u8
广安公共, http://live1.gatv.com.cn:85/live/GGPD.m3u8
广州新闻, http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
广州法治, http://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=3e84cd8eba844b5dc2150612295c7a52&txTime=18d578f4493
广州竞赛, http://8.138.7.223/tv/gzjs.m3u8
广州综合, http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
广德生活, https://live.gdtv.ah.cn/live/newsTV.m3u8
广西国际, https://hlscdn.liangtv.cn/live/0234c48e0bc24fe1b41b9999a253e581/1075ee38e04f490690f6a36a16e09c79.m3u8
庆元新闻综合, http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?fbl=
庆元综合, http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
康定综合, http://kdfile.ganzitv.com/nmip-media/channellive/channel100663/playlist.m3u8
延边2, http://stream5.jlntv.cn/wq/playlist.m3u8
